anime	name
Eye_Def	無表情
Eye_Yorokobi	喜び
Eye_Tere	照れ
Eye_Emi	笑み
Eye_Egao	笑顔
Eye_Nigawarai	苦笑い
Eye_Niyake	ニヤケ
Eye_Doyagao	ドヤ顔
Eye_Kimegao	キメ顔
Eye_Zimangao	自慢顔
Eye_Wink_L	ウィンク左
Eye_Wink_R	ウィンク右
Eye_Mabusii_L	眩しい左
Eye_Mabusii_R	眩しい右
Eye_Hosome	細目
Eye_Zitome	ジト目
Eye_Mikudasi	見下し
Eye_Akire	呆れ
Eye_Gatukari	がっかり
Eye_Odoroki	驚き
Eye_Sinken	真剣
Eye_Kangae	考え
Eye_Takurami	企み
Eye_Tun	ツン
Eye_Fukigen	不機嫌
Eye_Ikari	怒り
Eye_Gekido	激怒
Eye_Komari	困り
Eye_Kanasii	悲しい
Eye_Oonaki	大泣き
Eye_Itagari	痛がり
Eye_Gekituu	激痛
Eye_Yugami_L	歪み左
Eye_Yugami_R	歪み右
Eye_Hazukasii	恥ずかし
Eye_Kanji	感じ
Eye_Utori	うっとり
Eye_Ahe_a	アヘA
Eye_Ahe_b	アヘB
Eye_Ahe_c	アヘC
