状態	種類	目	口	目の開き	口の開き
抵抗	呼吸	激怒	困り	100	10
抵抗	呼吸	不機嫌	困り	75	10
抵抗	呼吸	激怒	困り	0	0
抵抗	絶頂後呼吸	痛がり	大泣き	0	50
抵抗	絶頂後呼吸	激怒	大泣き	50	50
抵抗	中出し後呼吸	感じ	困り	60	20
抵抗	中出し後呼吸	激怒	困り	75	20
抵抗	外出し後呼吸	不機嫌	困り	80	10
抵抗	外出し後呼吸	激怒	困り	80	10
抵抗	喘ぎ弱ハズレ	激怒	怒り	100	0
抵抗	喘ぎ弱ハズレ	考え	困り	80	0
抵抗	喘ぎ弱ハズレ	不機嫌	困り	60	0
抵抗	喘ぎ弱アタリ	大泣き	怒り	50	0
抵抗	喘ぎ弱アタリ	恥ずかし	困り	80	0
抵抗	喘ぎ弱アタリ	悲しい	困り	100	0
抵抗	喘ぎ強ハズレ	激痛	食いしばり	100	0
抵抗	喘ぎ強ハズレ	不機嫌	困り	50	0
抵抗	喘ぎ強ハズレ	激怒	困り	80	0
抵抗	喘ぎ強アタリ	大泣き	怒り	0	20
抵抗	喘ぎ強アタリ	恥ずかし	困り	50	20
抵抗	喘ぎ強アタリ	痛がり	困り	80	20
抵抗	喘ぎ台詞弱	歪み左	困り	50	0
抵抗	喘ぎ台詞弱	激怒	ツン	50	0
抵抗	喘ぎ台詞弱	不機嫌	ツン	80	0
抵抗	喘ぎ台詞強	歪み左	困り	50	0
抵抗	喘ぎ台詞強	激怒	ツン	50	0
抵抗	喘ぎ台詞強	痛がり	食いしばり	50	0
抵抗	中出し性癖なし	激痛	食いしばり	100	0
抵抗	中出し性癖なし	歪み右	食いしばり	50	0
抵抗	中出し性癖あり	痛がり	困り	75	20
抵抗	中出し性癖あり	感じ	困り	50	40
抵抗	外出し性癖なし	歪み左	ツン	50	0
抵抗	外出し性癖なし	激怒	困り	80	0
抵抗	外出し性癖あり	困り	困り	50	20
抵抗	外出し性癖あり	大泣き	困り	0	20
抵抗	絶頂	痛がり	食いしばり	100	20
抵抗	絶頂	アヘC	悲しい	100	40
抵抗	絶頂	感じ	悲しい	50	40
抵抗	抜き	激痛	食いしばり	100	0
抵抗	抜き	激怒	困り	100	10
脱力	呼吸	痛がり	困り	50	30
脱力	呼吸	不機嫌	困り	60	30
脱力	呼吸	大泣き	困り	0	30
脱力	絶頂後呼吸	痛がり	大泣き	0	50
脱力	絶頂後呼吸	痛がり	大泣き	50	50
脱力	中出し後呼吸	大泣き	困り	50	30
脱力	中出し後呼吸	不機嫌	困り	50	30
脱力	外出し後呼吸	不機嫌	困り	50	30
脱力	外出し後呼吸	困り	困り	50	30
脱力	台詞	無表情	無表情	100	30
脱力	喘ぎ弱ハズレ	激怒	怒り	80	30
脱力	喘ぎ弱ハズレ	考え	困り	60	30
脱力	喘ぎ弱ハズレ	不機嫌	困り	40	30
脱力	喘ぎ弱アタリ	感じ	困り	75	30
脱力	喘ぎ弱アタリ	痛がり	困り	50	30
脱力	喘ぎ弱アタリ	痛がり	困り	0	30
脱力	喘ぎ強ハズレ	激痛	困り	100	50
脱力	喘ぎ強ハズレ	不機嫌	困り	25	50
脱力	喘ぎ強ハズレ	激怒	困り	50	50
脱力	喘ぎ強アタリ	感じ	困り	50	50
脱力	喘ぎ強アタリ	痛がり	困り	25	50
脱力	喘ぎ強アタリ	痛がり	困り	0	50
脱力	喘ぎ台詞弱	感じ	困り	75	30
脱力	喘ぎ台詞弱	痛がり	困り	50	30
脱力	喘ぎ台詞弱	痛がり	困り	0	30
脱力	喘ぎ台詞強	感じ	困り	50	50
脱力	喘ぎ台詞強	痛がり	困り	25	50
脱力	喘ぎ台詞強	痛がり	困り	0	50
脱力	フェラ挿入	感じ	無表情	50	50
脱力	イラマ挿入	痛がり	無表情	50	50
脱力	中出し性癖なし	不機嫌	困り	60	40
脱力	中出し性癖なし	困り	驚き	50	40
脱力	中出し性癖あり	恥ずかし	困り	60	40
脱力	中出し性癖あり	痛がり	大泣き	50	40
脱力	外出し性癖なし	歪み右	困り	50	40
脱力	外出し性癖なし	不機嫌	困り	70	40
脱力	外出し性癖あり	困り	困り	50	40
脱力	外出し性癖あり	大泣き	困り	60	40
脱力	絶頂	痛がり	困り	0	50
脱力	絶頂	感じ	困り	40	50
脱力	抜き	痛がり	困り	50	50
抵抗,脱力	台詞	不機嫌	ツン	100	0
抵抗,脱力	手コキ弱	不機嫌	困り	80	0
抵抗,脱力	手コキ弱	激怒	困り	100	0
抵抗,脱力	手コキ強	激怒	食いしばり	70	0
抵抗,脱力	手コキ強	激怒	困り	80	0
