タイプ	状態	口の状態	速度	行為	詳細条件	優先度	種類	ファイル名	数
呼吸	-	-	-	-	-	-	呼吸	ho_00_00_00	-
呼吸	-	咥え,猿轡	-	-	-	-	呼吸	ho_00_05_00	-
事後呼吸	脱力	-	-	-	男射精	-	呼吸	ho_00_01_00	-
事後呼吸	脱力	-	-	-	女絶頂	-	呼吸	ho_00_02_00	-
事後呼吸	-	-	-	-	女絶頂	-	呼吸	ho_00_03_00	-
事後呼吸	-	-	-	-	中出し	-	呼吸	ho_00_03_01	-
事後呼吸	-	-	-	-	外出し	-	呼吸	ho_00_03_02	-
事後呼吸	脱力	咥え	-	-	-	-	呼吸	ho_00_06_00	-
事後呼吸	-	咥え	-	-	女絶頂	-	呼吸	ho_00_07_00	-
事後呼吸	-	咥え	-	-	中出し	-	呼吸	ho_00_07_01	-
事後呼吸	-	咥え	-	-	外出し	-	呼吸	ho_00_07_02	-
開始	初回	-	-	-	-	-	台詞	hs_90_00_00_00_00	-
放置	初回	-	-	-	男主導	-	台詞	hs_90_00_04_00_00	-
放置	初回	猿轡	-	-	-	-	台詞	hs_90_00_04_02_00	-
開始	初回	猿轡	-	-	-	-	台詞	hs_90_00_91_00_00	-
開始	抵抗	-	-	-	-	-	台詞	hs_00_00_00_00_00	-
開始	抵抗	-	-	-	-	-	台詞	hs_00_00_00_00_01	-
開始	抵抗	-	-	-	挿入するんでしょ？	-	台詞	hs_00_00_01_00_00	-
開始	抵抗	-	-	-	自室マップ	-	台詞	hs_00_00_02_00_00	-
開始	抵抗	-	-	-	庭マップ	-	台詞	hs_00_00_02_01_00	-
開始	抵抗	-	-	-	トイレマップ	-	台詞	hs_00_00_02_02_00	-
体位変更	抵抗	-	-	-	狭所マップ	-	台詞	hs_00_00_02_03_00	-
開始	抵抗	-	-	-	傍観者がいる	-	台詞	hs_00_00_03_00_00	-
開始	抵抗	-	-	-	広一が相手	-	台詞	hs_00_00_03_01_00	-
開始	抵抗	-	-	-	複数が相手	-	台詞	hs_00_00_03_02_00	-
放置	抵抗	-	-	-	男主導	-	台詞	hs_00_00_04_00_00	-
放置	抵抗	-	-	-	女主導	-	台詞	hs_00_00_04_01_00	-
放置	抵抗	猿轡	-	-	-	-	台詞	hs_00_00_04_02_00	-
開始	抵抗	猿轡	-	-	-	-	台詞	hs_00_00_91_00_00	-
開始	豹変イベント	-	-	-	-	-	台詞	hs_91_00_00_00_00	-
開始	豹変	-	-	-	-	-	台詞	hs_10_00_00_00_00	-
開始	豹変	-	-	-	-	-	台詞	hs_10_00_00_00_01	-
開始	豹変	-	-	-	挿入するんでしょ？	-	台詞	hs_10_00_01_00_00	-
開始	豹変	-	-	-	膣挿入してほしい	-	台詞	hs_10_00_01_01_00	-
開始	豹変	-	-	-	アナル挿入してほしい	-	台詞	hs_10_00_01_02_00	-
開始	豹変	-	-	-	自室マップ	-	台詞	hs_10_00_02_00_00	-
開始	豹変	-	-	-	庭マップ	-	台詞	hs_10_00_02_01_00	-
開始	豹変	-	-	-	トイレマップ	-	台詞	hs_10_00_02_02_00	-
体位変更	豹変	-	-	-	狭所マップ	-	台詞	hs_10_00_02_03_00	-
開始	豹変	-	-	-	傍観者がいる	-	台詞	hs_10_00_03_00_00	-
開始	豹変	-	-	-	広一が相手	-	台詞	hs_10_00_03_01_00	-
開始	豹変	-	-	-	複数が相手	-	台詞	hs_10_00_03_02_00	-
放置	豹変	-	-	-	男主導	-	台詞	hs_10_00_04_00_00	-
放置	豹変	-	-	-	女主導	-	台詞	hs_10_00_04_01_00	-
放置	豹変	猿轡	-	-	-	-	台詞	hs_10_00_04_02_00	-
開始	豹変	猿轡	-	-	-	-	台詞	hs_10_00_91_00_00	-
開始	豹変淫語	-	-	-	膣挿入してほしい	-	台詞	hs_11_00_01_01_00	-
開始	豹変淫語	-	-	-	アナル挿入してほしい	-	台詞	hs_11_00_01_02_00	-
開始	姉妹最終イベント	-	-	-	-	100	台詞	hs_92_00_00_00_00	-
開始	雪子最終イベント１	-	-	-	-	100	台詞	hs_92_00_00_00_00	-
開始	雪子最終イベント２	-	-	-	-	100	台詞	Hs_92_00_00_00_01	-
体位変更	抵抗	-	-	性器挿入	-	-	台詞	hs_00_01_00_00_00	-
体位変更	抵抗	-	-	性器挿入	-	-	台詞	hs_00_01_00_00_01	-
体位変更	抵抗	-	-	性器挿入	性器処女	1	台詞	hs_00_01_00_01_00	-
体位変更	抵抗	-	-	アナル挿入	-	-	台詞	hs_00_01_01_00_00	-
体位変更	抵抗	-	-	アナル挿入	-	-	台詞	hs_00_01_01_00_01	-
体位変更	抵抗	-	-	アナル挿入	アナル処女	-	台詞	hs_00_01_01_01_00	-
体位変更	抵抗	-	-	愛撫	-	-	台詞	hs_00_01_02_00_00	-
体位変更	抵抗	-	-	愛撫	-	-	台詞	hs_00_01_02_00_01	-
体位変更	抵抗	-	-	オナニー	-	1	台詞	hs_00_01_02_01_00	-
体位変更	抵抗	-	-	道具	-	1	台詞	hs_00_01_02_02_00	-
体位変更	抵抗	-	-	奉仕	-	-	台詞	hs_00_01_03_00_00	-
体位変更	抵抗	-	-	奉仕	-	-	台詞	hs_00_01_03_00_01	-
体位変更	抵抗	-	-	奉仕	フェラ	-	台詞	hs_00_01_03_01_00	-
体位変更	抵抗	-	-	奉仕	イラマ	-	台詞	hs_00_01_03_01_00	-
体位変更	抵抗	-	-	-	元傍観者	2	台詞	hs_00_01_04_00_00	-
体位変更	豹変	-	-	性器挿入	-	-	台詞	hs_10_01_00_00_00	-
体位変更	豹変	-	-	性器挿入	-	-	台詞	hs_10_01_00_00_01	-
体位変更	豹変	-	-	性器挿入	性器処女	1	台詞	hs_10_01_00_01_00	-
体位変更	豹変	-	-	アナル挿入	-	-	台詞	hs_10_01_01_00_00	-
