anime	name
Mouth_Def	無表情
Mouth_Yorokobi	喜び
Mouth_Egao	笑顔
Mouth_Nigawarai	苦笑い
Mouth_Niyake	ニヤケ
Mouth_Doyagao	ドヤ顔
Mouth_Odoroki	驚き
Mouth_Sinken	真剣
Mouth_Takurami	企み
Mouth_Tun	ツン
Mouth_Fukigen	不機嫌
Mouth_Ikari	怒り
Mouth_Gekido	激怒
Mouth_Komari	困り
Mouth_Kanasii	悲しい
Mouth_Oonaki	大泣き
Mouth_Itagari	痛がり
Mouth_Kuisibari	食いしばり
Mouth_Sakebi	叫び
Mouth_Ahe_a	アヘA
Mouth_Ahe_b	アヘB
Mouth_Ahe_c	アヘC
Mouth_Ahe_new_d	アヘD
Mouth_Ahe_new_e	アヘE
Mouth_Fukure	ふくれ
Mouth_Ochobo	おちょぼ口
Mouth_Kuchibue	口笛
Mouth_Kiss_a	キスA
Mouth_Kiss_b	キスB
Mouth_Sitadasi_a	舌出しA
Mouth_Sitadasi_b	舌出しB
Mouth_Sitadasi_c	舌出しC
Mouth_Sitadasi_d	舌出しD
Mouth_Sitadasi_e	舌出しE
