状態	種類	目	口	目の開き	口の開き
抵抗	呼吸	困り	困り	100	10
抵抗	呼吸	困り	困り	60	0
抵抗	呼吸	悲しい	困り	0	0
抵抗	呼吸	悲しい	無表情	100	10
抵抗	呼吸	悲しい	無表情	70	10
抵抗	呼吸	怒り	困り	70	0
抵抗	呼吸	怒り	困り	100	10
抵抗	呼吸	恥ずかし	無表情	100	20
抵抗	呼吸	恥ずかし	困り	50	0
抵抗	呼吸	恥ずかし	困り	100	20
豹変	呼吸	喜び	喜び	100	0
豹変	呼吸	喜び	喜び	50	0
豹変	呼吸	喜び	喜び	75	0
豹変	呼吸	うっとり	喜び	100	0
豹変	呼吸	アヘA	喜び	60	0
豹変	呼吸	困り	喜び	100	20
豹変	呼吸	困り	喜び	60	0
豹変	呼吸	恥ずかし	喜び	80	10
豹変	呼吸	恥ずかし	喜び	50	0
豹変	呼吸	ジト目	喜び	100	0
台詞	kn_00_02_02_00_00	悲しい	困り	100	0
台詞	kn_00_02_02_00_01	困り	困り	100	0
台詞	kn_00_02_02_10_00	困り	困り	80	0
台詞	kn_00_02_02_10_01	困り	困り	75	0
台詞	kn_00_02_02_01_00	悲しい	困り	100	0
台詞	kn_00_02_02_01_01	困り	困り	80	0
台詞	kn_00_02_02_11_00	大泣き	困り	80	0
台詞	kn_00_02_02_11_01	悲しい	困り	0	0
台詞	kn_00_02_02_03_00	大泣き	困り	100	0
台詞	kn_00_02_02_03_01	大泣き	困り	80	0
台詞	kn_00_02_03_00_00	不機嫌	困り	100	0
台詞	kn_00_02_03_00_01	悲しい	困り	0	0
台詞	kn_00_02_04_00_00	大泣き	困り	100	0
台詞	kn_00_02_05_00_00	悲しい	困り	0	0
台詞	kn_00_02_91_00_00	大泣き	無表情	100	0
台詞	kn_00_02_91_00_01	悲しい	無表情	0	0
台詞	kn_00_04_02_00_00	悲しい	困り	70	0
台詞	kn_00_04_02_00_01	悲しい	困り	0	0
台詞	kn_00_04_02_10_00	悲しい	困り	80	0
